sail 3 mars; shortest distance: 86687910.4073702|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
88|-150562873.57857934|2292478.6141345045|1024942.2577466378|1562568.9330364787|0.6|-2.004705294724086|-27.696233844871465|-12.009780843178595|301535645.40634215|142021616.7530077|61102186.50729129|338861863.1119904
89|-150597624.423528|1800630.8622921482|811664.5766769864|1580325.3981846205|0.6|-1.9094575602467294|-27.70300091188552|-12.012734817999524|301272856.8191632|142819158.16150212|61463726.50245511|339028665.2622589
90|-150630684.0696807|1308665.7385096503|598335.6521320401|1598081.8633327624|0.6|-1.8142173256396399|-27.709454061598215|-12.015552664225831|301007755.79905987|143616222.6658894|61825061.9593009|339195558.2702642
91|-150662052.663058|816588.815100542|384957.900519035|1615838.3284809042|0.6|-1.7189860934895314|-27.715593463960033|-12.018234455247127|300740344.0397526|144412803.75575852|62186189.98929922|339362541.60872436
92|-150691730.3762229|324405.66122557287|171533.73688347038|1633594.793629046|0.6|-1.6237653650272144|-27.721419296463004|-12.020780267723605|300470623.262771|145208894.92761275|62547107.706973515|339529614.7503547
93|-150719717.40824145|-167878.15725008858|-41934.42515282244|1651351.2587771877|0.6|-1.5285566400627026|-27.726931744126066|-12.023190181579727|300198595.2174024|146004489.6850112|62907812.22996165|339696777.16787726
94|-150746013.98485026|-660257.0777928638|-255444.1734072608|1669107.7239253295|0.6|-1.433361416987583|-27.732130999571247|-12.025464280037248|299924261.68084717|146799581.5386028|63268300.67903098|339864028.3341596
95|-150770620.35995355|-1152725.5405531414|-468993.09685536893|1686864.1890734714|0.6|-1.338181193208099|-27.737017263683864|-12.027602649901409|299647624.45970345|147594164.00547728|63628570.177796826|340031367.7231705
96|-150793536.81399342|-1645277.9893234854|-682578.7860466292|1704620.6542216132|0.6|-1.2430174645663148|-27.741590744899195|-12.02960538125174|299368685.38832575|148388230.61012143|63988617.85313785|340198794.80899376
97|-150814763.65420952|-2137908.87152607|-896198.8330989802|1722377.119369755|0.6|-1.1478717253729847|-27.745851659319126|-12.031472567492635|299087446.3290721|149181774.88440487|64348440.83519002|340366309.066022
98|-150834301.21478283|-2630612.638260225|-1109850.8317194046|1740133.5845178969|0.6|-1.052745468403603|-27.749800230777325|-12.033204305381602|298803909.1724361|149974790.36762586|64708036.257366784|340533909.96907705
99|-150852149.85452256|-3123383.7456285316|-1323532.3777794512|1757890.0496660387|0.6|-0.9576401841194946|-27.75343668980937|-12.03480069458285|298518075.83472157|150767270.6078353|65067401.25693394|340701596.99204767
100|-150868309.95837066|-3616216.6540741683|-1537241.0690275738|1775646.5148141803|0.6|-0.8625573610905255|-27.756761274326408|-12.036261837959309|298229948.25953543|151559209.1611725|65426532.974721596|340869369.60885406
101|-150882781.93797454|-4109105.8282036153|-1750974.50501213|1793402.9799623222|0.6|-0.7674984861245632|-27.75977422987307|-12.03758784168445|297939528.418348|152350599.59168595|65785428.55504653|341037227.2938322
102|-150895566.23100507|-4602045.737263077|-1964730.2872881186|1811159.445110464|0.6|-0.672465044001932|-27.76247580932538|-12.038778815111353|297646818.30979943|153141435.4718075|66144085.145918354|341205169.52136445
103|-150906663.30209652|-5095030.854696388|-2178506.019225276|1828915.9102586058|0.6|-0.5774585177480935|-27.764866273325413|-12.03983487096112|297351819.9606275|153931710.3819088|66502499.898847125|341373195.7664419
104|-150916073.64290932|-5588055.658222237|-2392299.3060415527|1846672.3754067477|0.6|-0.4824803886067517|-27.76694589031354|-12.040756125336866|297054535.4257188|154721417.91037607|66860669.9688761|341541305.50472784
